restaurant_name_tc,restaurant_name_en,district_name_tc,district_name_en,district_code,address_tc,address_en,license_id,license_type_code,info_code,expiry_date,latitude,longitude,lastupdate,google_id,rating,price_level,review_count,primary_type,all_types,naming_style_en,naming_style_tc
怡怡泰菜,怡怡泰菜,元朗區,Yuen Long,94,新界元朗福田徑2-16號樂富大廈地下6號鋪,"SHOP 6, G/F, LOK FU BUILDING, 2-16 FUK TIN PATH, YUEN LONG, NEW TERRITORIES",3194801275,RR,,2026-12-19,22.4464294,114.0217386,2025-12-10,ChIJY70UVJ7wAzQR2w3EUl1M-Jw,3.9,3.0,68,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
泰中意,Thai Like Kitchen,沙田區,Sha Tin,97,新界沙田大圍田心村254號地下,"G/F, 254 TIN SAM VILLAGE, TAI WAI, SHA TIN, NEW TERRITORIES",2297803177,RL,,2026-10-01,22.3694755,114.1780266,2025-11-04,ChIJ28uRSsAHBDQR5ri_GVDjrKE,4.5,0.0,131,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Pun,食字
樹屋泰廚,TREE HOUSE THAI KITCHEN,旺角區,Mong Kok,62,九龍旺角洗衣街39-55號金雞廣場19樓15-17室,"FLAT 15-17, 19/F, GOLDEN ERA PLAZA, 39-55 SAI YEE STREET, MONG KOK, KOWLOON",3162802895,RR,,2026-09-09,22.3183665,114.1717566,2025-09-18,ChIJVdbnW1MBBDQRKOQXdM0lf74,4.6,0.0,20,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
泰斗,Thai Master,油尖區,Yau Tsim,61,九龍尖沙咀海防道38-40號中達大廈4樓及平台露天座位,"4/F AND THE OUTSIDE SEATING ACCOMMODATION AT FLAT ROOF, ZHONGDA BUILDING, 38-40 HAIPHONG ROAD, TSIM SHA TSUI, KOWLOON",2261808199,RL,#A#F#G,2026-04-18,22.2979307,114.1706786,2025-03-24,ChIJ9cjTfu0ABDQREpeeWligo0g,4.1,3.0,405,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Pun,食字
金柚泰菜,POMELO THAI RESTAURANT,旺角區,Mong Kok,62,九龍大角咀樂群街7號地下,"G/F, 7 LOK KWAN STREET, TAI KOK TSUI, KOWLOON",2262810069,RL,,2026-08-31,22.322821,114.1608892,2025-08-27,ChIJEUhvuLAABDQRhzwGD3UqiKc,4.0,3.0,124,thai_restaurant,"['thai_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",Standard,標準
泰嘉雯,泰嘉雯,旺角區,Mong Kok,62,九龍大角咀欅街32號富多來新邨二期28號地下,"NO. 28, G/F, FU TOR LOY SUN CHUEN, STAGE 2, 32 BEECH STREET, TAI KOK TSUI, KOWLOON",3162802673,RR,,2026-04-09,22.3197018,114.1631407,2025-04-11,ChIJVTeLlLkABDQR5tkKNSIyJkA,3.8,2.0,149,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
泰皇閣泰國菜館,泰皇閣泰國菜館,九龍城區,Kowloon City,52,九龍九龍城衙前塱道15號地下,"G/F, NO. 15 NGA TSIN LONG ROAD, KOWLOON CITY, KOWLOON",2252804164,RL,,2026-04-13,22.328387,114.189147,2025-04-08,ChIJVz_vbRwHBDQR1OTVuMWZ180,4.0,3.0,451,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
昌發泰國粉麵屋,昌發泰國粉麵屋,九龍城區,Kowloon City,52,九龍九龍城城南道25號地下,"G/F, 25 SOUTH WALL ROAD, KOWLOON CITY, KOWLOON",2252804173,RL,#G,2026-04-16,22.3292708,114.1908705,2025-03-11,ChIJGz11oyoHBDQRlh7JtIxuCkE,3.9,3.0,651,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
新泰東南亞餐廳,SUN THAI RESTAURANT,西貢區,Sai Kung,98,新界西貢將軍澳唐賢街9號POPCORN F09號鋪,"SHOP UNIT F09, POPCORN, 9 TONG YIN STREET, TSEUNG KWAN O, SAI KUNG, NEW TERRITORIES",2298801868,RL,,2026-09-17,22.307521,114.259068,2026-01-26,ChIJJWcbPl0DBDQRY8OqbMC1tXE,3.8,0.0,48,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Standard,標準
泰識野,THAI SHAKE YEAH,元朗區,Yuen Long,94,新界元朗馬田路38號怡豐花園地下5號鋪,"SHOP 5, G/F, YEE FUNG GARDEN, 38 MA TIN ROAD, YUEN LONG, NEW TERRITORIES",2294803857,RL,,2026-04-22,22.4411898,114.0250036,2025-04-16,ChIJBdv23O3xAzQRutu5XCWzGro,2.4,0.0,40,asian_restaurant,"['asian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",Pun,食字
